,timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO,Apple_pred
93,1/1/2000 1:40,0.0,0.0,0.006742549,5.269257209255192
94,1/1/2000 1:40,0.0,0.0,0.00673246,5.2554578138085954
95,1/1/2000 1:40,0.0,0.0,0.006860998,5.431224471484883
96,1/1/2000 1:41,0.0,0.0,0.006890153,5.471078806909077
97,1/1/2000 1:41,0.0,0.0,0.006862908,5.43383555341202
98,1/1/2000 1:41,24.0,1.0,0.03232699,38.48357105616949
99,1/1/2000 1:41,0.0,0.0,0.006870275,5.443906479831769
100,1/1/2000 1:42,0.0,0.0,0.006828564,5.386882125908421
101,1/1/2000 1:42,0.0,0.0,0.006898006,5.481812883759568
102,1/1/2000 1:42,10.0,1.0,0.019849404,22.718620731003647
103,1/1/2000 1:42,0.0,0.0,0.006460819,4.883698557940637
104,1/1/2000 1:43,0.0,0.0,0.006443766,4.860346343583464
105,1/1/2000 1:43,0.0,0.0,0.006492381,4.926914886162516
106,1/1/2000 1:43,0.0,0.0,0.006432616,4.845076744736698
107,1/1/2000 1:43,0.0,0.0,0.006120036,4.416719086857567
108,1/1/2000 1:44,0.0,0.0,0.006477431,4.9064452778576175
109,1/1/2000 1:44,0.0,0.0,0.006536823,4.987757557374334
110,1/1/2000 1:44,0.0,0.0,0.006483224,4.914377231035024
111,1/1/2000 1:44,0.0,0.0,0.006533065,4.9826131577877995
112,1/1/2000 1:45,0.0,0.0,0.006510503,4.9517259041714095
113,1/1/2000 1:45,0.0,0.0,0.009509184,9.031621161235195
114,1/1/2000 1:45,0.0,0.0,0.006424574,4.834063021194272
115,1/1/2000 1:45,0.0,0.0,0.006064375,4.340383129754825
116,1/1/2000 1:46,0.0,0.0,0.006316765,4.686380257233518
117,1/1/2000 1:46,0.0,0.0,0.0064816,4.912153619740158
118,1/1/2000 1:46,0.0,0.0,0.006559982,5.0194585895311405
119,1/1/2000 1:46,0.0,0.0,0.006542794,4.995931210441311
120,1/1/2000 1:47,0.0,0.0,0.006484461,4.916070944581417
121,1/1/2000 1:47,9.0,1.0,0.012805348,13.458136113805589
122,1/1/2000 1:47,0.0,0.0,0.006777054,5.316447612692604
123,1/1/2000 1:47,56.0,1.0,0.060508809,71.3466815824536
124,1/1/2000 1:48,7.0,1.0,0.005137526,3.0666575081924456
125,1/1/2000 1:48,0.0,0.0,0.003321173,0.5562094184629807
126,1/1/2000 1:48,0.0,0.0,0.00295859,0.05278734875233493
127,1/1/2000 1:48,0.0,0.0,0.003320937,0.5558819962428778
128,1/1/2000 1:49,0.0,0.0,0.003791568,1.2081863234248686
129,1/1/2000 1:49,0.0,0.0,0.003406702,0.6748495916835182
130,1/1/2000 1:49,0.0,0.0,0.003468598,0.7606812068269191
131,1/1/2000 1:49,0.0,0.0,0.003553304,0.8781076640051717
132,1/1/2000 1:50,0.0,0.0,0.003488287,0.7879794304751062
133,1/1/2000 1:50,0.0,0.0,0.003439169,0.7198745733271172
134,1/1/2000 1:50,0.0,0.0,0.00348314,0.7808434818924965
